[DB] Using SQLite: sqlite:///C:\Users\socrat\Desktop\Movis_with_Telegram\database\movies.db
Library ID: 1
Found 0 existing TV series in the database.

Scraping TV series channel: https://t.me/Series7h7
This may take a while for channels with many messages...

  [NEW] Lucky (msg #811, link: https://t.me/Lucky_7h)
  [NEW] SILO S? (msg #777, link: https://t.me/SILO18)
  [NEW] House Of The Dragon S? (msg #738, link: https://t.me/HouseOfTheDragon07)
  [NEW] Three Body Problem 3 Body Problem (msg #730, link: https://t.me/+uGmwMfUK7uI4ODU0)
  [NEW] My Lady Jane (msg #728, link: https://t.me/+JgRjoW4SILZlOWI8)
  [NEW] The Newsroom (msg #726, link: https://t.me/+uSiSL2352EhlN2Fk)
  [NEW] I Will Find You (msg #721, link: https://t.me/+ziWCkLmdtNIxODk0)
  [NEW] I Am Not Okay With This (msg #719, link: https://t.me/+8gLgKDZTiRgzYzJk)
  [NEW] Every Year After (msg #685, link: https://t.me/+QRM6eE-o7-40Yjg8)
  [NEW] Raising Voices (msg #680, link: https://t.me/+EQutuRv7vr5hZmY0)
  [NEW] Cape Fear (msg #678, link: https://t.me/+DgNlQ5O9O1plYmI0)
  [NEW] Five Days at Memorial (msg #675, link: https://t.me/+hSYZAq7ZGuowNTA0)
  [NEW] Unbelievable (msg #654, link: https://t.me/+CO7bZtDgVHYzNjZk)
  [NEW] A Good Girl's Guide to Murder (msg #630, link: https://t.me/+wtsHJqcfEGw3MjM0)
  [NEW] The Haunting of Hill House (msg #628, link: https://t.me/+lCyPWlYNoFNlYmQ0)
  [NEW] Maxton Hall (msg #626, link: https://t.me/+QdVjmMB6o0I1ZjVk)
  [NEW] The Penguin (msg #617, link: https://t.me/+HSOc6k87bfw3NDFk)
  [NEW] Pluribus (msg #615, link: https://t.me/+WgwdT3N-yGhjZDg0)
  [NEW] You (msg #613, link: https://t.me/+NlFRiINoIDs0MDU0)
  [NEW] Severance (msg #611, link: https://t.me/+ULb1y2vNPbI5YmI0)
  [NEW] Silo (msg #609, link: https://t.me/+K_3X71ID8VRhODg0)
  [NEW] Reacher (msg #607, link: https://t.me/+yAGz5i9ktUAwOWI8)
  [NEW] How I Met Your Mother (msg #605, link: https://t.me/+2jL6mYWSmG0yYWQ0)
  [NEW] Spider Noir (msg #600, link: https://t.me/+5NTX_FPBkVUwZjRk)
  [NEW] The Vampire Diaries (msg #579, link: https://t.me/+_ERH32Qbd9Y0Y2I0)
  [NEW] Friends (msg #553, link: https://t.me/+YYG39_0azgtjMjg8)
  [NEW] The Last Of Us (msg #520, link: https://t.me/+P9evV_CZkbQzZDM0)
